dataset,method,silhouette,calinski_harabasz,davies_bouldin,ext_ari,ext_nmi,ext_fmi
wholesale,KMeans_k=2,0.18398343725704827,132.2036828487735,2.062664526189805,,,
wholesale,GMM_n=7,0.1083112932782672,60.21717939423647,2.1984949469972936,,,
wholesale,DBSCAN_eps=2.4190,0.18214811131958808,36.78746323623506,1.1849941117335248,,,
wholesale,Agglomerative_Ward_k=3,0.17888428035982623,93.05424217902576,1.8661319206664642,,,
wholesale,Stability_KMeans_bootstrap_ARI,0.9684398907690249,0.018716328639494732,,,,
wholesale,Ensemble_CSPA_k=3,0.19340037693162238,101.18350603624104,1.834194888756933,,,
digits_optdigits_like,KMeans_k=2,0.10563771488565656,164.3207056689187,2.9642914797008175,0.12661376720008016,0.28771492973040047,0.3743162957083709
digits_optdigits_like,GMM_n=4,0.07806866189261903,90.97692286302771,2.7251010746036988,0.1298972789249963,0.3024677530489475,0.34746298870137426
digits_optdigits_like,DBSCAN_eps=5.1410,0.24550448700128408,43.64872979827171,1.159590584389988,0.002528323314459806,0.03986800923455412,0.28078477814889746
digits_optdigits_like,Agglomerative_Ward_k=2,0.09587161121366541,154.2798850318059,2.8029271164412703,0.1365711133836454,0.3783187365336896,0.40185853712243813
digits_optdigits_like,Stability_KMeans_bootstrap_ARI,0.836012682356167,0.10923576892265066,,,,
digits_optdigits_like,Ensemble_CSPA_k=2,0.09063592271073814,152.9857267417025,2.733566169276649,0.11776903960183939,0.3386596127536882,0.38418084203270997
